question_english,disease_english,drug_english,treatment_english,question_telugu,disease_telugu,drug_telugu,treatment_telugu,question_bengali,disease_bengali,drug_bengali,treatment_bengali,question_hindi,disease_hindi,drug_hindi,treatment_hindi,question_tamil,disease_tamil,drug_tamil,treatment_tamil,question_marathi,disease_marathi,drug_marathi,treatment_marathi,question_gujarati,disease_gujarati,drug_gujarati,treatment_gujarati,Manual_Intent
Can Jupiros 10 Tablet cause muscle problems or muscle injury?,"muscle problems, muscle injury",Jupiros 10 Tablet,,జూపిరోస్ ౧౦ మాత్ర కండరాల సమస్యలు లేదా కండరాల గాయం కలిగిస్తుందా?,"కండరాల సమస్యలు,కండరాల గాయం",జూపిరోస్ ౧౦ మాత్ర,,জুপিরোস ১০ ট্যাবলেট কি পেশী সমস্যা বা পেশী আঘাত ঘটাতে পারে?,"পেশী সমস্যা, পেশী আঘাত",জুপিরোস ১০ ট্যাবলেট,,क्या जुपिरोस १० टैबलेट के कारण मांसपेशियों में समस्या या मांसपेशियों में चोट हो सकती है?,"मांसपेशियों की समस्या, मांसपेशियों में चोट",जुपिरोस 10  टैबलेट,,ஜூபிரோஸ் 10 மாத்திரை தசை பிரச்சினைகள் அல்லது தசைக் காயத்தை ஏற்படுத்த முடியுமா?," தசை பிரச்சினைகள், தசைக் காயத்தை",ஜூபிரோஸ் 10 மாத்திரை ,,ज्युपिरोस १० टॅब्लेट मुळे स्नायूंच्या समस्या किंवा स्नायूंना इजा होऊ शकते का?,"स्नायूंच्या समस्या , स्नायूंना इजा",ज्युपिरोस १०  टॅब्लेट,,શું જુપીરોસ ૧૦ ટીકડી (જુપીરોસ ૧૦) ના ઉપયોગથી સ્નાયુઓની સમસ્યા અથવા ઈજા થઈ શકે છે?,"સ્નાયુઓની સમસ્યા, સ્નાયુઓની ઈજા",જુપીરોસ ૧૦ ટીકડી,,drug
How can I find a stem cell donor for my child who has blood cancer?,Blood cancer,,stem cell donor,రక్త క్యాన్సర్ ఉన్న నా బిడ్డ కోసం స్టెమ్ సెల్ దాతను నేను ఎలా కనుగొనగలను?,రక్త క్యాన్సర్,,స్టెమ్ సెల్ దాత,ব্লাড ক্যান্সারে আক্রান্ত আমার সন্তানের জন্য আমি কীভাবে স্টেম সেল দাতা খুঁজে পেতে পারি?,ব্লাড ক্যান্সার,,স্টেম সেল দাতা,"मैं अपने बच्चे के लिए जिसे रक्त कैंसर है , एक स्टेम सेल दाता कैसे पा सकता हूं है?",रक्त कैंसर,,स्टेम सेल डोनर,இரத்த புற்றுநோயால் பாதிக்கப்பட்ட என் குழந்தைக்கு ஒரு ஸ்டெம் செல் நன்கொடையாளரை நான் எவ்வாறு கண்டுபிடிப்பது?,இரத்த புற்றுநோயால்,,ஸ்டெம் செல் நன்கொடையாளரை,रक्ताचा कर्करोग असलेल्या माझ्या मुलासाठी मी स्टेम सेल दाता कसा शोधू शकतो?,रक्ताचा कर्करोग,,स्टेम सेल दाता,બ્લડ કેન્સર ધરાવતા મારા બાળક માટે હું સ્ટેમ સેલ દાતા કેવી રીતે શોધી શકું?,બ્લડ કેન્સર,,સ્ટેમ સેલ દાતા,other
How long does it take for urticaria to go away?,urticaria,,,ఉర్టికేరియా పోవడానికి ఎంత సమయం పడుతుంది?,ఉర్టికేరియా,,,আমবাত দূর হতে কতক্ষণ সময় লাগে?,আমবাত,,,पित्ती को दूर होने में कितना समय लगता है?,पित्ती,,,யூர்டிகேரியா நீங்க எவ்வளவு நேரம் ஆகும்?,யூர்டிகேரியா,,,अर्टिकेरिया निघून जाण्यासाठी किती वेळ लागतो?,अर्टिकेरिया,,,અિટકૅરીયા દૂર થવામાં કેટલો સમય લાગે છે?,અિટકૅરીયા,,,disease
What do chicken pox look like when they first come out?,Chicken Pox,,,ఆటలమ్మ మొదటిసారి  వచ్చినప్పుడు ఎలా ఉంటుంది?,ఆటలమ్మ,,,চিকেন পক্স যখন প্রথম বের হয় তখন দেখতে কেমন লাগে?,চিকেন পক্স,,,चिकन पॉक्स कैसा दिखता है जब वो पहली बार होता हैं?,चिकन पॉक्स,,,சிக்கன் பாக்ஸ் முதலில் வெளியே வரும்போது எப்படி இருக்கும்?,சிக்கன் பாக்ஸ்,,,कांजिण्या प्रथम बाहेर येतात तेव्हा ते कसे दिसतात?,कांजिण्या,,,જ્યારે ચિકન પોક્સ પ્રથમ વખત બહાર આવે છે ત્યારે તે કેવો દેખાય છે?,ચિકન પોક્સ,,,disease
Can the use of Hifenac-MR Tablet cause damage to liver?,damage to liver,Hifenac-MR Tablet,,ఇది హీఫేనక్-ఎమ్ఆర్ మాత్ర యొక్క ఉపయోగం కాలేయానికి నష్టం కలిగిస్తుంధా?,కాలేయానికి నష్టం,హీఫేనక్-ఎమ్ఆర్ మాత్ర,,হিফেনক-এমআর ট্যাবলেটের ব্যবহার লিভারের ক্ষতি হতে পারে?,লিভারের ক্ষতি,হিফেনকএমআর ট্যাবলেট,,क्या हिफेनाक-एमआर टैबलेट का प्रयोग यकृत को नुकसान पहुंचा सकता है?,लीवर को नुकसान,हिफेनाक-एमआर टैबलेट,,ஹிஃபெனாக்-திரு மாத்திரையின் பயன்பாடு கல்லீரலுக்கு சேதத்தை ஏற்படுத்த முடியுமா?,கல்லீரலுக்கு சேதத்தை,ஹிஃபெனாக்-திரு மாத்திரையின்,,हिफेनाक-एमआर टॅब्लेट च्या वापरामुळे यकृतचा नुकसान होऊ शकते का?,यकृतचा नुकसान,हिफेनाक-एमआर टॅब्लेट,,શું હિફેનાક-એમઆર ટીકડી નો ઉપયોગ યકૃતને નુકસાન પહોંચાડી શકે છે?,યકૃતને નુકસાન,હિફેનાક-એમઆર ટીકડી,,drug
Can endometriosis go away on its own?,Endometriosis,,,ఎండోమెట్రియోసిస్ దానంతట అదే తగ్గిపోతుందా?,ఎండోమెట్రియోసిస్,,,এন্ডোমেট্রিওসিস কি নিজে থেকে দূরে যেতে পারে?,এন্ডোমেট্রিওসিস,,,क्या एंडोमेट्रियोसिस अपने आप दूर हो सकता है?,एंडोमेट्रियोसिस,,,எண்டோமெட்ரியோசிஸ் சொந்தமாக விலகிச் செல்ல முடியுமா?,எண்டோமெட்ரியோசிஸ்,,,एंडोमेट्रिओसिस स्वतःच निघून जाऊ शकतो का?,एंडोमेट्रिओसिस,,,શું એન્ડોમેટ્રિઓસિસ તેના પોતાના પર દૂર થઈ શકે છે?,એન્ડોમેટ્રિઓસિસ,,,disease
How long does it take for Urotone Tablet to start working?,,urotone Tablet,,ఉరోతోనే మాత్ర పని చేయడం ప్రారంభించడానికి ఎంత సమయం పడుతుంది?,,ఉరోతోనే మాత్ర,,উরোটোনে ট্যাবলেটের কাজ শুরু করতে কত সময় লাগে?,,উরোটোনে,,यूरोटोन टैबलेट को काम करना शुरू करने में कितना समय लगता है?,,यूरोटोन टैबलेट,,யூரோட்டோன் மாத்திரை வேலை செய்ய எவ்வளவு நேரம் ஆகும்?,,யூரோட்டோன் மாத்திரை ,,युरोटोन  टॅब्लेट ला कार्य करण्यास किती वेळ लागेल?,,युरोटोन  टॅब्लेट,,યુરોટોન ટીકડી ને કામ કરવાનું શરૂ કરવામાં કેટલો સમય લાગે છે?,,યુરોટોન ટીકડી,,drug
What are the instructions for storage and disposal of Seroflo 250 Inhaler?,,Seroflo 25 Inhaler,,శెరొఫ్లో ౨౫౦ ఇన్హేలర్ నిల్వ మరియు పారవేయడం కొరకు సూచనలు ఏమిటి?,,శెరొఫ్లో ౨౫౦ ఇన్హేలర్,,সেরোফ্লো ২৫০ ইনহেলারের সংরক্ষণ এবং নিষ্পত্তির জন্য নির্দেশাবলী কী?,,সেরোফ্লো ২৫০ ইনহেলার,,सेरोफ्लो  २५ इनहेलर के भंडारण और निपटान के लिए क्या निर्देश हैं?,,सेरोफ्लो २५ इनहेलर,,செரோஃப்ளோ 250 இன்ஹேலரை சேமித்து அகற்றுவதற்கான வழிமுறைகள் யாவை?,,செரோஃப்ளோ 250 இன்ஹேலரை,,सेरोफ्लो 250 इनहेलरचे स्टोरेज आणि विल्हेवाट लावण्यासाठी काय सूचना आहेत?,,सेरोफ्लो २	५० इनहेलर,,સેરોફ્લો ૨૫૦ ઇન્હેલરના સંગ્રહ અને નિકાલ માટેની સૂચનાઓ શું છે?,,સેરોફ્લો ૨૫૦ ઇન્હેલર,,drug
How long does it take for Duphalac Oral Solution Lemon to work?,,Duphalak Oral Solution Lemon,,డుఫలాక్ ఓరల్ ద్రావణం నిమ్మకాయ పనిచేయడానికి ఎంత సమయం పడుతుంది?,,డుఫలాక్ ఓరల్ ద్రావణం,,ডুফাল্যাক ওরাল সলিউশন লেমন কাজ করতে কতক্ষণ সময় নেয়?,,ডুফাল্যাক ওরাল সলিউশন লেমন,,डुफलैक ओरल सॉल्यूशन लेमन को काम करने में कितना समय लगता है?,,डुफलैक ओरल सॉल्यूशन लेमन,,டபாலாக் வாய்வழி தீர்வு எலுமிச்சை வேலை செய்ய எவ்வளவு நேரம் ஆகும்?,,டபாலாக் வாய்வழி தீர்வு எலுமிச்சை,,दुफलाक ओरल सोल्यूशन लेमनला काम करण्यासाठी किती वेळ लागतो?,,दुफलाक ओरल सोल्यूशन लेमन,,ડુફાલેક ઓરલ સોલ્યુશન લીંબુ ને કામ કરવામાં કેટલો સમય લાગે છે?,,ડુફાલેક ઓરલ સોલ્યુશન લીંબુ,,drug
What happens if typhoid is left untreated?,typhoid,,,టైఫాయిడ్‌కు చికిత్స చేయకుండా వదిలేస్తే ఏమి జరుగుతుంది?,టైఫాయిడ్‌,,,টাইফয়েড যদি চিকিৎসা না করা হয় তবে কী হবে?,টাইফয়েড,,,क्या होता है यदि टाइफाइड को अनुपचारित छोड़ दिया जाता है?,टाइफाइड,,,டைபாய்டு சிகிச்சையளிக்கப்படாவிட்டால் என்ன ஆகும்?,டைபாய்டு,,,टायफॉइडवर उपचार न केल्यास काय होते?,टायफॉइड,,,જો ટાઈફોઈડની સારવાર ન કરવામાં આવે તો શું થાય?,ટાઈફોઈડ,,,treatment
Is there a vaccine for dengue?,dengue,,vaccine,డెంగ్యూకు టీకా ఉందా?,డెంగ్యూ,,టీకా,ডেঙ্গির প্রতিষেধক আছে কি?,ডেঙ্গি,,প্রতিষেধক,क्या डेंगू का कोई टीका है?,डेंगू,,टीका,டெங்கு ஒரு தடுப்பூசி இருக்கிறதா?,டெங்கு ,,தடுப்பூசி,डेंग्यूची लस आहे का?,डेंग्यू,,लस,શું ડેન્ગ્યુ માટે કોઈ રસી છે?,ડેન્ગ્યુ,,રસી,treatment
How do I know if I have asthma?,asthma,,,నాకు ఆస్తమా ఉందో లేదో నాకు ఎలా తెలుస్తుంది?,ఆస్తమా,,,আমার হাঁপানি আছে কিনা তা আমি কীভাবে জানব?,হাঁপানি,,,मुझे कैसे पता चलेगा कि मुझे अस्थमा है या नहीं?,अस्थमा,,,எனக்கு ஆஸ்துமா இருந்தால் எனக்கு எப்படித் தெரியும்?,ஆஸ்துமா,,,मला दमा आहे हे मला कसे कळेल?,दमा,,,મને અસ્થમા છે કે કેમ તે હું કેવી રીતે જાણી શકું?,અસ્થમા,,,disease
"Do leprosy patients need to live in separate rooms or houses, isolated from family members?",leprosy,,,కుష్టు వ్యాధిగ్రస్తులు కుటుంబ సభ్యుల నుండి వేరుచేయబడిన ప్రత్యేక గదులు లేదా ఇళ్లలో నివసించాల్సిన అవసరం ఉందా?,కుష్టు వ్యాధి,,,"কুষ্ঠ রোগীদের কি আলাদা ঘরে বা বাড়িতে থাকতে হবে, যা পরিবারের সদস্যদের থেকে বিচ্ছিন্ন?",কুষ্ঠ,,,क्या कुष्ठ रोगियों को परिवार के सदस्यों से अलग-थलग कमरे या घरों में रहने की आवश्यकता है?,कुष्ठ रोग,,,தொழுநோய் நோயாளிகள் குடும்ப உறுப்பினர்களிடமிருந்து தனிமைப்படுத்தப்பட்ட தனி அறைகள் அல்லது வீடுகளில் வாழ வேண்டுமா?,தொழுநோய்,,,कुष्ठरुग्णांना कुटुंबातील सदस्यांपासून वेगळ्या खोलीत किंवा घरात राहण्याची गरज आहे का?,कुष्ठरोग,,,શું રક્તપિત્તના દર્દીઓએ પરિવારના સભ્યોથી અલગ અલગ રૂમ અથવા મકાનમાં રહેવાની જરૂર છે?,રક્તપિત્ત,,,drug
How long does it take for Kamagra-FX 100mg Oral Jelly Cola to work?,,Kamagra-FX 100 mg Oral Jelly Cola,,కామగ్రా-ఎఫ్ఎక్స్ ౧౦౦మి.గ్రా ఓరల్ జెల్లీ కోలా పనిచేయడానికి ఎంత సమయం పడుతుంది?,,కామగ్రా-ఎఫ్ఎక్స్ ౧౦౦మిగ్రా ఓరల్ జెల్లీ కోలా,,কামাগ্রা-এফএক্স ১০০ মিলিগ্রাম ওরাল জেলি কোলার কাজ করতে কতক্ষণ সময় লাগে?,,কামাগ্রাএফএক্স ১০০ মিলিগ্রাম ওরাল জেলি কোলা,,कामाग्रा-एफएक्स १००  मिलीग्राम  ओरल जेली कोला को काम करने में कितना समय लगता है?,,कामाग्रा-एफएक्स 100 मिलीग्राम ओरल जेली कोला,,கமக்ரா-எஃப்எக்ஸ் 100 எம்ஜி வாய்வழி ஜெல்லி கோலா வேலை செய்ய எவ்வளவு நேரம் ஆகும்?,,கமக்ரா-எஃப்எக்ஸ் 100 எம்ஜி வாய்வழி ஜெல்லி கோலா,,कामग्रा-एफएक्स ओरल कोला जेली कार्य करण्यासाठी किती वेळ लागतो?,,कामग्रा-एफएक्स १०० मिग्रॅ ओरल जेली कोला,,કામગ્રા-એફએક્સ ૧૦૦ મિલિગ્રામ ઓરલ જેલી કોલા ને કામ કરવા માટે કેટલો સમય લાગે છે?,,કામગ્રા-એફએક્સ ૧૦૦ મિલિગ્રામ ઓરલ જેલી કોલા,,drug
How to prevent scar formation after a wound?,"scar, wound",,,గాయం తరువాత మచ్చలు ఏర్పడకుండా ఎలా నిరోధించాలి?,"గాయం, మచ్చలు",,,একটি ক্ষত থেকে পরে ক্ষতচিহ্ন রয়ে যাওয়া প্রতিরোধ করা যায় কিভাবে?,"ক্ষত, ক্ষতচিহ্ন",,,घाव के बाद निशान बनने से कैसे रोकें?,"घाव, घाव",,,காயத்திற்குப் பிறகு வடு உருவாவதை எவ்வாறு தடுப்பது?,"காயத்திற்குப், வடு ",,,जखमेनंतर डाग तयार होणे कसे टाळायचे?,"जखमे  ,डाग",,,ઘા પછી ડાઘની રચના કેવી રીતે અટકાવવી?,"ડાઘ, ઘા",,,treatment
Is Ciplox Eye/Ear Drops safe?,,Ciplox Eye/Ear Drops,,సిప్లాక్స్ కన్ను/చెవి చుక్కలు సురక్షితమా?,,సిప్లాక్స్ కన్ను/చెవి చుక్కలు,,সিপ্লক্স চোখ/ কানের ড্রপগুলি কি নিরাপদ?,,সিপ্লক্স চোখ/ কানের ড্রপগুলি,,क्या सिप्लॉक्स आई/ईयर ड्रॉप  सुरक्षित है?,,सिप्लॉक्स आई/ईयर ड्रॉप,,சிப்லாக்ஸ் கண்/காது சொட்டுகள் பாதுகாப்பானதா?,,சிப்லாக்ஸ் கண்/காது சொட்டுகள்,,सिप्लोक्स आई + इअर थेंब सुरक्षित आहे का?,,सिप्लोक्स आई / इअर थेंब,,શું સિપ્લોક્સ આંખ/કાનના ટીપાં સુરક્ષિત છે?,,સિપ્લોક્સ આંખ/કાનના ટીપાં,,drug
Is passing gas normal?,passing of gas,,,వాయువును పంపడం సాధారణమేనా?,వాయువు,,,গ্যাস কি স্বাভাবিক?,গ্যাস,,,क्या गैस का गुजरना सामान्य है?,गैस का गुजरना,,,வாயு கடந்து செல்வது இயல்பானதா?,வாயு கடந்து,,,गॅस जाणे सामान्य आहे का?,गॅस जाणे,,,શું ગેસ પસાર થવું સામાન્ય છે?,ગેસ પસાર થવું,,,other
How to relieve nausea post-chemotherapy?,nausea,,Chemotherapy,కీమోథెరపీ తర్వాత వికారం నుండి ఎలా ఉపశమనం పొందాలి?,వికారం,,కీమోథెరపీ,কেমোথেরাপির পরে বমি বমি ভাব থেকে কীভাবে মুক্তি পাবেন?,বমি বমি ভাব,,কেমোথেরাপি,कीमोथेरेपी के बाद मतली से कैसे छुटकारा पाएं?,मतली,,कीमोथेरेपी,குமட்டல் பிந்தைய கீமோதெரபியை எவ்வாறு அகற்றுவது?,குமட்டல்,,கீமோதெரபியை,केमोथेरपीनंतर मळमळ कशी दूर करावी?,मळमळ,,केमोथेरपी,કીમોથેરાપી પછી ઉબકા કેવી રીતે દૂર કરવી?,ઉબકા,,કીમોથેરાપી,treatment
Can removal of ovaries cure PCOS?,PCOS,,removal of ovaries,అండాశయాల తొలగింపు పిసిఒఎస్ ను నయం చేయగలదా?,పిసిఒఎస్,,అండాశయాల తొలగింపు,ডিম্বাশয় অপসারণ কি পিসিওএস নিরাময় করতে পারে?,পিসিওএস,,ডিম্বাশয় অপসারণ,क्या अंडाशय को हटाने से पीसीओएस का इलाज हो सकता है?,पीसीओएस,,अंडाशय को हटाना,PCOS கருப்பையை அகற்ற முடியுமா?,PCOS,,கருப்பையை அகற்ற,अंडाशय काढून टाकल्याने पीसीओएस   बरा होऊ शकतो का?,पीसीओएस,,अंडाशय काढून टाकल्याने,શું અંડાશયને દૂર કરવાથી પીસીઓએસ મટાડી શકાય છે?,પીસીઓએસ,,અંડાશયને દૂર કરવા,treatment
Is Domstal 10mg Tablet used for motion sickness?,motion sickness,Domstal 10mg Tablet,,దొంస్తల్ ౧౦ఎంజి మాత్రను  చలన అనారోగ్యానికి ఉపయోగించబడుతుందా?,చలన అనారోగ్యం,దొంస్తల్ ౧౦ఎంజి మాత్ర,,ডোমস্টাল ১০ মিলিগ্রাম ট্যাবলেট কি মোশন সিকনেসের জন্য ব্যবহৃত হয়?,মোশন সিকনেস,ডোমস্টাল ১০ মিলিগ্রাম,,क्या सफ़र के कारण उबकाई के लिए डोमस्टल १०एमजी टैबलेट का प्रयोग किया जाता है?,मोशन सिकनेस,डोमस्टल १०एमजी टैबलेट,,இயக்க நோய்க்கு டோம்ஸ்டல் 10 எம்ஜி டேப்லெட் பயன்படுத்தப்படுகிறதா?,இயக்க நோய்க்கு,டோம்ஸ்டல் 10 எம்ஜி டேப்லெட் ,,डोम्स्टल १० mg टॅब्लेट मोशन सिकनेस साठी वापरले जाते का?,मोशन सिकनेस,डोम्स्टल १० गोळी,,શું ડોમસ્ટાલ ૧૦ મિલિગ્રામ ટીકડી નો ઉપયોગ મોશન સિકનેસ માટે થાય છે?,મોશન સિકનેસ,ડોમસ્ટાલ ૧૦ મિલિગ્રામ ટીકડી,,drug
Can only a fiber rich diet keep constipation away?,constipation,,fiber rich diet,ఫైబర్ అధికంగా ఉండే ఆహారం మాత్రమే మలబద్ధకాన్ని దూరం చేయగలదా?,మలబద్ధకం,,ఫైబర్ అధికంగా ఉండే ఆహారం,শুধুমাত্র ফাইবার সমৃদ্ধ খাদ্য কোষ্ঠকাঠিন্য দূরে রাখতে পারে?,কোষ্ঠকাঠিন্য,,ফাইবার সমৃদ্ধ খাদ্য,क्या केवल फाइबर युक्त आहार ही कब्ज को दूर रख सकता है?,कब्ज,,फाइबर युक्त आहार,ஃபைபர் நிறைந்த உணவு மட்டுமே மலச்சிக்கலை விலக்கி வைக்க முடியுமா?,மலச்சிக்கலை,,ஃபைபர் நிறைந்த உணவு,फक्त फायबरयुक्त आहार बद्धकोष्ठता दूर ठेवू शकतो का?,बद्धकोष्ठता,,फायबरयुक्त आहार,શું માત્ર ફાઈબરયુક્ત આહાર કબજિયાતને દૂર રાખી શકે છે?,કબજિયાત,,ફાઈબરયુક્ત આહાર,treatment
Can I stop taking Ketofresh CT Cream when my symptoms are relieved?,,ketofresh Ct Cream,,నా లక్షణాలు ఉపశమనం పొందినప్పుడు నేను కెటోఫ్రెష్ సిటి క్రీమ్ తీసుకోవడం మానివేయవచ్చా?,,కెటోఫ్రెష్ సిటి క్రీమ్,,আমার উপসর্গগুলি সেরে গেলে কেটোফ্রেশ সিটি ক্রিম গ্রহণ বন্ধ করতে পারি?,,কেটোফ্রেশ সিটি ক্রিম,,क्या मेरे लक्षणों से राहत मिलने पर  मैं केटोफ्रेश सीटी क्रीम (Ketofresh CT Cream) लेना बंद कर सकता हूं?,,टोफ्रेश सीटी क्रीम,,எனது அறிகுறிகள் நிவாரணம் பெறும்போது கெட்டோஃப்ரெஷ் சி.டி கிரீம் எடுப்பதை நிறுத்த முடியுமா?,,கெட்டோஃப்ரெஷ் சி.டி கிரீம்,,माझी लक्षणे कमी झाल्यावर मी केटोफ्रेश सीटी क्रीम  लावणे थांबवू शकतो का?,,केटोफ्रेश सीटी क्रीम,,જ્યારે મારા લક્ષણોમાં રાહત થાય ત્યારે શું હું કેટોફ્રેશ સીટી ક્રીમ લેવાનું બંધ કરી શકું?,,કેટોફ્રેશ સીટી ક્રીમ,,drug
What is Drotin-M Tablet?,,Drotin-M Tablet,,డ్రోటిన్-ఎమ్ మాత్ర అంటే ఏమిటి?,,డ్రోటిన్-ఎమ్ మాత్ర,,ড্রোটিন-এম ট্যাবলেট কী?,,ড্রোটিনএম,,ड्रोटिन-एम टैबलेट क्या है?,,ड्रोटिन-एम टैबलेट,,டிரோட்டின்-எம் மாத்திரை என்றால் என்ன?,,டிரோட்டின்-எம் மாத்திரை ,,द्रॉटीन म गोळी काय आहे?,,द्रॉटीन म गोळी,,દવા દ્રોતિન-એમ ટીકડી (દ્રોતિન-એમ) શું છે?,,દ્રોતિન-એમ ટીકડી,,drug
Can I stop taking Brufen 400 Tablet when my pain is relieved?,pain,Brufen 400 Tablet,,నా నొప్పి నుండి ఉపశమనం పొందినప్పుడు నేను బ్రూఫఎన్ ౪౦౦ మాత్రను  తీసుకోవడం ఆపివేయవచ్చా?,నొప్పి,బ్రూఫఎన్ ౪౦౦ మాత్ర,,আমার ব্যথা সেরে গেলে ব্রুফেন ৪০০ ট্যাবলেট গ্রহণ বন্ধ করতে পারি?,ব্যথা,ব্রুফেন ৪০০,,क्या मैं  दर्द से राहत मिलने पर ब्रूफेन ४०० टैबलेट (Brufen 400 Tablet) लेना बंद कर सकता हूं?,दर्द ,ब्रूफेन ४०० टैबलेट,,என் வலி நிவாரணம் பெறும்போது ப்ரூஃபென் 400 மாத்திரையை எடுப்பதை நிறுத்த முடியுமா?,வலி ,ப்ரூஃபென் 400 மாத்திரையை ,,माझ्या वेदना कमी झाल्यावर मी ब्रुफेन ४०० एमजी टॅब्लेट घेणे थांबवू शकतो का?,वेदना,ब्रुफेन ४०० एमजी गोळी,,જ્યારે મારા દુખાવામાં રાહત થાય ત્યારે શું હું બ્રુફેન ૪૦૦ ટીકડી લેવાનું બંધ કરી શકું?,દુખાવો,બ્રુફેન ૪૦૦ ટીકડી,,drug
Which is the best area to inject Human Mixtard 70/30 Suspension for Injection 40IU/ml?,,Human Mixtard 70/30 Suspension,,ఇంజెక్షన్ ౪౦ఐయూ/మిలీ కోసం హ్యూమన్ మిక్స్‌టార్డ్ ౭౦/౩౦ సస్పెన్షన్‌ను ఇంజెక్ట్ చేయడానికి ఉత్తమమైన ప్రాంతం ఏది?,,హ్యూమన్ మిక్స్‌టార్డ్ ౭౦/౩౦ సస్పెన్షన్‌,,হিউম্যান মিক্সটার্ড ৭০/৩০ সাসপেনশন ইনজেকশন ৪০ আইউ/এমএল ইনজেক্ট করার জন্য কোন অংশ সর্বোত্তম?,,হিউম্যান মিক্সটার্ড ৭০/৩০ সাসপেনশন,,ह्यूमन मिक्सटार्ड 70/30 सस्पेंशन फॉर इंजेक्शन 40IU/एमएल इंजेक्शन लगाने के लिए सबसे अच्छा क्षेत्र कौन सा है?,,ह्यूमन मिक्सटार्ड 70/30 सस्पेंशन फॉर इंजेक्शन 40IU/एमएल इंजेक्शन,,இன்ஜெக்ஷன் 40IU/mlக்கு ஹ்யூமன் மிக்ஸ்டார்ட் 70/30 சஸ்பென்ஷன் ஊசியை செலுத்த சிறந்த பகுதி எது?,,இன்ஜெக்ஷன் 40IU/mlக்கு ஹ்யூமன் மிக்ஸ்டார்ட் 70/30 சஸ்பென்ஷன் ஊசியை ,,इंजेक्शनसाठी ह्यूमन मिक्स्स्टर्ड ७०/३० सस्पेंशन ४० IU करण्यासाठी सर्वोत्तम क्षेत्र कोणते आहे?,,ह्यूमन मिक्स्स्टर्ड ७०/३० सस्पेंशन,,ઈન્જેક્શન ૪૦આઈયુ/મિલી માટે હ્યુમન મિક્સટાર્ડ ૭૦/૩૦ સસ્પેન્શન ઇન્જેક્ટ કરવા માટે શ્રેષ્ઠ વિસ્તાર કયો છે?,,હ્યુમન મિક્સટાર્ડ ૭૦/૩૦ સસ્પેન્શન,,drug
Can daily exercise help combat tiredness?,tiredness,,daily exercise,రోజువారీ వ్యాయామం అలసటను ఎదుర్కోవడంలో సహాయపడుతుందా?,అలసట,,వ్యాయామం,প্রতিদিনের ব্যায়াম কি ক্লান্তি মোকাবিলায় সাহায্য করতে পারে?,ক্লান্তি,,প্রতিদিনের ব্যায়াম,क्या दैनिक व्यायाम थकान से निपटने में मदद कर सकता है?,थकान,,दैनिक व्यायाम,தினசரி உடற்பயிற்சி சோர்வை சமாளிக்க உதவுமா?,சோர்வை,,தினசரி உடற்பயிற்சி,दैनंदिन व्यायामामुळे थकवा दूर होण्यास मदत होते का?,थकवा,,दैनंदिन व्यायाम,શું દૈનિક કસરત થાક સામે લડવામાં મદદ કરી શકે છે?,થાક,,દૈનિક કસરત,treatment
Can you get syphilis again after treatment?,syphilis,,,చికిత్స తర్వాత మీరు మళ్లీ సిఫిలిస్ పొందగలరా?,సిఫిలిస్,,,চিকিত্সার পরে আপনি আবার সিফিলিস হতে পারে??,সিফিলিস,,,क्या आपको इलाज के बाद फिर से सिफलिस हो सकता है?,सिफलिस,,,சிகிச்சைக்குப் பிறகு மீண்டும் சிபிலிஸ் வர முடியுமா?,சிபிலிஸ்,,,उपचारानंतर तुम्हाला पुन्हा सिफिलीस होऊ शकतो का?,सिफिलीस,,,શું તમે સારવાર પછી ફરીથી સિફિલિસ મેળવી શકો છો?,સિફિલિસ,,,disease
What is the difference between nausea and vomiting?,"nausea , vomiting",,,వికారం మరియు వాంతులు మధ్య తేడా ఏమిటి?,"వికారం,వాంతులు",,,বমি বমি ভাব এবং বমি মধ্যে পার্থক্য কি?,"বমি বমি ভাব, বমি",,,मतली और उल्टी में क्या अंतर है?,"मतली ,उल्टी",,,குமட்டல் மற்றும் வாந்திக்கு என்ன வித்தியாசம்?,"குமட்டல்,வாந்திக்கு",,,मळमळ आणि उलट्या यात काय फरक आहे?,"मळमळ ,उलट्या",,,ઉબકા અને ઉલટી વચ્ચે શું તફાવત છે?,"ઉબકા, ઉલટી",,,drug
