question_english,disease_english,drug_english,treatment_english,question_hindi,disease_hindi,drug_hindi,treatment_hindi,question_bengali,disease_bengali,drug_bengali,treatment_bengali,question_tamil,disease_tamil,drug_tamil,treatment_tamil,question_telugu,disease_telugu,drug_telugu,treatment_telugu,question_marathi,disease_marathi,drug_marathi,treatment_marathi,question_gujarati,disease_gujarati,drug_gujarati,treatment_gujarati,Manual_Intent
is there estrogen in vitamin e,,"vitamin e, estrogen",,क्या विटामिन ई में एस्ट्रोजन होता है?,,"विटामिन इ , एस्ट्रोजन ",,ভিটামিন ই-এর মধ্যে এস্ট্রোজেন আছে কি?,,"ভিটামিন ই, এস্ট্রোজেন",,வைட்டமின் ஈ உள்ள ஈஸ்ட்ரோஜன் உள்ளதா?,,"வைட்டமின் ஈ, ஈஸ்ட்ரோஜன்",,విటమిన్ ఇ లో ఈస్ట్రోజెన్ ఉందా?,,"విటమిన్ ఇ, ఈస్ట్రోజెన్",,व्हिटॅमिन ई मध्ये इस्ट्रोजेन आहे का?,,"व्हिटॅमिन ई , इस्ट्रोजेन",,શું વિટામિન ઇમાં એસ્ટ્રોજન છે?,,"વિટામિન ઇ, એસ્ટ્રોજન",,drug
can i find a medicaid doctor for suboxone,,suboxone,,क्या मुझे suboxone के लिए एक चिकित्सक मिल सकता है,,सुबोसॉन,,আমি কি সাবক্সোনের জন্য একটি মেডিকেড ডাক্তার পেতে পারি?,,সাবক্সোন,,நான் சுபாக்ஸோனுக்கு ஒரு மருத்துவரைக் கண்டுபிடிக்க முடியுமா?,,சுபாக்சோன்,,సుబాక్సోన్ కోసం నేను మెడిక్ ఎయిడ్ వైద్యుడిని కనుగొనవచ్చా,,సుబాక్సోన్,,मी सबोक्सोनसाठी मेडिकेड डॉक्टर शोधू शकतो का?,,सबोक्सोन,,શું હું સબોક્સોન માટે મેડિકેડ ડૉક્ટર શોધી શકું?,,સબઓક્સોન,,drug
is it possible to have a yeast infection inside your breast?,yeast infection,,,क्या आपके स्तन के अंदर खमीर संक्रमण होना संभव है?,खमीर संक्रमण,,,আপনার স্তনের অভ্যন্তরে ইস্টএর সংক্রমণ হওয়া কি সম্ভব?,ইস্টএর সংক্রমণ,,,உங்கள் மார்பகத்திற்குள் ஈஸ்ட் தொற்று ஏற்படுவது சாத்தியமா?,ஈஸ்ட் தொற்று,,,మీ రొమ్ము లోపల ఈస్ట్ సంక్రామ్యత ఉండటం సాధ్యమేనా?,ఈస్ట్ సంక్రామ్యత,,,तुमच्या स्तनामध्ये यीस्टचा संसर्ग होणे शक्य आहे का?,यीस्टचा संसर्ग,,,શું તમારા સ્તનની અંદર યીસ્ટનો ચેપ હોય તે શક્ય છે?,આથો ચેપ,,,disease
if i scoliosis and i have a baby will my baby be born with scoliosis?,Scoliosis,,,अगर मुझे स्कोलियोसिस है और मेरा बच्चा है तो क्या मेरा बच्चा स्कोलियोसिस के साथ पैदा होगा?,स्कोलियोसिस,,,যদি আই স্কোলিওসিস হয় এবং আমার একটি বাচ্চা হয় তবে কি আমার বাচ্চা স্কোলিওসিস নিয়ে জন্মগ্রহণ করবে?,আই স্কোলিওসিস,,,"எனக்கு ஸ்கோலியோசிஸ் இருந்தால் மற்றும் எனக்கு குழந்தை இருந்தால், என் குழந்தை ஸ்கோலியோசிஸ் நோயுடன் பிறக்குமா?",ஸ்கோலியோசிஸ்,,,నేను పార్శ్వగూని మరియు నాకు బిడ్డ ఉంటే నా బిడ్డ పార్శ్వగూనితో పుడుతుందా?,పార్శ్వగూని,,,जर मला स्कोलियोसिस असेल आणि मला मूल असेल तर माझ्या बाळाचा जन्म स्कोलियोसिसने होईल का?,स्कोलियोसिस,,,જો મને સ્કોલિયોસિસ હોય અને મને બાળક હોય તો શું મારું બાળક સ્કોલિયોસિસ સાથે જન્મશે?,સ્કોલિયોસિસ,,,disease
why would a woman who has just had a baby need more water?,,,,क्यों एक औरत जिसका अभी अभी एक बच्चा हुआ हैं उसे अधिक पानी की जरुरत होती हैं ?,,,,যে মহিলার সদ্য একটি বাচ্চা হয়েছে তার কেন বেশি জলের প্রয়োজন?,,,,ஒரு குழந்தையைப் பெற்றெடுத்த ஒரு பெண்ணுக்கு ஏன் அதிக தண்ணீர் தேவை?,,,,అప్పుడే బిడ్డకు జన్మనిచ్చిన స్త్రీకి ఎక్కువ నీరు ఎందుకు అవసరం?,,,,नुकतेच बाळ झालेल्या स्त्रीला जास्त पाणी का लागते?,,,,જે સ્ત્રીને હમણાં જ બાળક થયું છે તેને વધુ પાણીની જરૂર કેમ પડશે?,,,,other
will the aca have any change at all for those on medicare? why are our premiums going up so much?,,,,क्या मेडिकेयर पर रहने वालों के लिए एसीए में कोई बदलाव होगा? हमारा प्रीमियम इतना क्यों बढ़ रहा है?,,,,যারা মেডিকেয়ারে আছেন তাদের জন্য এ সি এ  কি আদৌ কোনো পরিবর্তন করবে? কেন আমাদের প্রিমিয়াম এত বেড়ে যাচ্ছে?,,,,மருத்துவ காப்பீட்டில் உள்ளவர்களுக்கு ஏதேனும் மாற்றம் ஏற்படுமா? எங்களின் பிரீமியங்கள் ஏன் இவ்வளவு அதிகமாகின்றன?,,,,మెడికేర్‌లో ఉన్నవారిలో ఎసిఎకు ఏమైనా మార్పు ఉంటుందా? మా ప్రీమియంలు ఎందుకు అంతగా పెరుగుతున్నాయి?,,,,मेडिकेअरवर असलेल्यांसाठी ऐसिये  मध्ये काही बदल होईल का? आमचे प्रीमियम इतके का वाढत आहेत?,,,,શું મેડિકેર પરના લોકો માટે એસીએ માં કોઈ ફેરફાર થશે? આપણું પ્રીમિયમ કેમ આટલું વધી રહ્યું છે?,,,,other
i have ms. sometimes i have to have mris or other tests done. . my insurance has always paid the total amount. will such tests be covered under the changes that are coming?,ms,,mri,मुझे एमएस है कभी-कभी मुझे एम् आर आई  या अन्य परीक्षण करवाना पड़ता है। . मेरे बीमा ने हमेशा कुल राशि का भुगतान किया है। क्या ऐसे परीक्षण आने वाले परिवर्तनों के अंतर्गत शामिल होंगे?,एमएस,,एम् आर आई,আমার এমএস আছে কখনও কখনও আমার মৃস বা অন্যান্য পরীক্ষা করাতে হয়। . আমার বীমা সর্বদা মোট অর্থ প্রদান করেছে। এই ধরনের পরীক্ষা কি আসছে পরিবর্তনের আওতায় আসবে?,এমএস,,এমআরআই,என்னிடம் எம்எஸ் உள்ளது. சில சமயங்களில் நான் எம்.ஆர்.ஐ.எஸ் அல்லது பிற சோதனைகளைச் செய்ய வேண்டும். . எனது காப்பீடு எப்போதும் மொத்தத் தொகையை செலுத்தியுள்ளது. அத்தகைய சோதனைகள் வரவிருக்கும் மாற்றங்களின் கீழ் வருமா?,எம்எஸ்,,எம்.ஆர்.ஐ.எஸ்,నాకు ఎంఎస్ ఉంది. కొన్నిసార్లు నేను ఎంఆర్ఐలు లేదా ఇతర పరీక్షలు చేయవలసి ఉంటుంది. . నా బీమా ఎల్లప్పుడూ మొత్తం మొత్తాన్ని చెల్లించింది. అటువంటి పరీక్షలు రాబోయే మార్పుల క్రింద కవర్ చేయబడతాయా?,ఎంఎస్,,ఎంఆర్ఐలు,माझ्याकडे एमएस आहे. कधीकधी मला एमआरआई किंवा इतर चाचण्या कराव्या लागतात. . माझ्या विम्याने नेहमीच एकूण रक्कम भरली आहे. अशा चाचण्या येणार्‍या बदलांमध्ये समाविष्ट केल्या जातील का?,,,एमआरआई,મારી પાસે એમએસ. ક્યારેક મારે એમઆઈઆર અથવા અન્ય ટેસ્ટ કરાવવા પડે છે. . મારા વીમાએ હંમેશા કુલ રકમ ચૂકવી છે. શું આવી કસોટીઓ આવતા ફેરફારો હેઠળ આવરી લેવામાં આવશે?,એમએસ,,એમઆરઆઈ,treatment plan
what is apomorphine used for parkinson's disease?,parkinson's disease,apomorphine,,पार्किंसंस रोग के लिए एपोमोर्फिन का क्या उपयोग किया जाता है?,पार्किंसंस रोग,एपोमोर्फिन,,পার্কিনসন রোগের জন্য অ্যাপোমরফিন কী ব্যবহার করা হয়?,পার্কিনসন রোগ,অ্যাপোমরফিন,,பார்கின்சன் நோய்க்கு அபோமார்பின் என்ன பயன்படுத்தப்படுகிறது?,பார்கின்சன் நோய்க்கு,அபோமார்பின்,,పార్కిన్సన్స్ వ్యాధికి ఉపయోగించబడే అపోమోర్ఫిన్ ఏంటి?,పార్కిన్సన్స్ వ్యాధి,అపోమోర్ఫిన్,,पार्किन्सन रोगासाठी अपोमॉर्फिन काय वापरले जाते?,पार्किन्सन रोग,अपोमॉर्फिन,अपोमॉर्फिन,પાર્કિન્સન રોગ માટે એપોમોર્ફિન શું વપરાય છે?,ધ્રુજારી ની બીમારી,એપોમોર્ફિન,એપોમોર્ફિન,treatment plan
how can you slow the aging process?,aging process,,,आप उम्र बढ़ने की प्रक्रिया को कैसे धीमा कर सकते हैं?,उम्र बढ़ने की प्रक्रिया,,,কিভাবে আপনি বার্ধক্য প্রক্রিয়া ধীর করতে পারেন?,বার্ধক্য প্রক্রিয়া ধীর করা,,,வயதான செயல்முறையை எவ்வாறு மெதுவாக்குவது?,வயதான செயல்முறையை,,,మీరు వృద్ధాప్య ప్రక్రియను ఎలా నెమ్మదించగలరు?,వృద్ధాప్య ప్రక్రియ,,,तुम्ही वृद्धत्वाची प्रक्रिया कशी कमी करू शकता?,वृद्धत्वाची प्रक्रिया,,,તમે વૃદ્ધત્વ પ્રક્રિયાને કેવી રીતે ધીમું કરી શકો છો?,વૃદ્ધત્વ પ્રક્રિયા,,,treatment plan
is liposuction covered by insurance?,,,liposuction,क्या लिपोसक्शन बीमा द्वारा कवर किया जाता है?,,,लिपोसक्शन,লাইপোসাকশন কি বীমা দ্বারা আচ্ছাদিত?,,,লাইপোসাকশন,லிபோசக்ஷன் காப்பீட்டின் கீழ் உள்ளதா?,,,லிபோசக்ஷன்,లైపోసక్షన్ బీమా పరిధిలోకి వస్తుందా?,,,లైపోసక్షన్,लिपोसक्शन विम्याद्वारे संरक्षित आहे का?,,,लिपोसक्शन,શું લિપોસક્શન વીમા દ્વારા આવરી લેવામાં આવે છે?,,,લિપોસક્શન,treatment plan
is there a test for genital herpes?,genital herpes,,,क्या जननांग दाद के लिए कोई परीक्षण है?,जननांग दाद,,,যৌনাঙ্গে হারপিসের জন্য একটি পরীক্ষা আছে?,হারপিস,,,பிறப்புறுப்பு ஹெர்பெஸ் பரிசோதனை உள்ளதா?,பிறப்புறுப்பு ஹெர்பெஸ்,,,జననేంద్రియ హెర్పెస్ కోసం పరీక్ష ఉందా?,జననేంద్రియ హెర్పెస్,,,जननेंद्रियाच्या नागीण साठी चाचणी आहे का?,जननेंद्रियाच्या नागीण,,,જીની હર્પીસ માટે કોઈ પરીક્ષણ છે?,જીની હર્પીસ,,,disease
will they still do arthroscopy surgery if you have a cold?,cold,,arthroscopy surgery,अगर आपको सर्दी है तो क्या वे अभी भी आर्थ्रोस्कोपी सर्जरी करेंगे?,सर्दी ,,आर्थ्रोस्कोपी सर्जरी,আপনার সর্দি হলে তারা কি এখন আর্থ্রোস্কোপি সার্জারি করবে?,সর্দি,,আর্থ্রোস্কোপি সার্জারি,உங்களுக்கு சளி இருந்தால் அவர்கள் இன்னும் ஆர்த்ரோஸ்கோபி அறுவை சிகிச்சை செய்வார்களா?,சளி,,ஆர்த்ரோஸ்கோபி அறுவை சிகிச்சை,మీకు జలుబు ఉంటే వారు ఇప్పటికీ ఆర్థ్రోస్కోపీ శస్త్రచికిత్స చేస్తారా?,జలుబు,,ఆర్థ్రోస్కోపీ శస్త్రచికిత్స,तुम्हाला सर्दी झाली असेल तरीही ते आर्थ्रोस्कोपी शस्त्रक्रिया करतील का?,सर्दी,,आर्थ्रोस्कोपी शस्त्रक्रिया,જો તમને શરદી હોય તો શું તેઓ હજુ પણ આર્થ્રોસ્કોપી સર્જરી કરશે?,ઠંડી,,આર્થ્રોસ્કોપી સર્જરી,treatment plan
where do i find a drug counseling near myakka city fl 34251. no insurance,,,,म्याका सिटी एफ एल   34251 के पास मुझे दवा परामर्श कहाँ मिल सकता है। कोई बीमा नहीं,,,,মায়াক্কা শহরের এফএল ৩৪২৫১ এর কাছে আমি কোথায় একটি ড্রাগ কাউন্সেলিং পাব। কোন বীমা নেই,,,,மைக்கா சிட்டி எஃப்எல் 34251க்கு அருகில் மருந்து ஆலோசனையை நான் எங்கே காணலாம். காப்பீடு இல்லை,,,,మైక్కా నగరం ఎఫ్ఎల్ ౩౪౨౫౧ దగ్గర ఔషధ సంప్రదింపులని నేను ఎక్కడ కనుగొనగలను. బీమా లేదు,,,,मायक्का शहर एफएल  ३४२५१ जवळ मला औषध समुपदेशन कुठे मिळेल. विमा नाही,,,,મને માયક્કા સિટી ફ્લ ૩૪૨૫૧ પાસે ડ્રગ કાઉન્સેલિંગ ક્યાં મળશે? કોઈ વીમો નથી,,,,other
can i get hearing aids if i'm on medicare?,,,hearing aids,अगर मैं मेडिकेयर पर हूं तो क्या मुझे हियरिंग एड मिल सकता है?,,,कान की मशीन,আমি মেডিকেয়ারে থাকলে কি আমি শ্রবণযন্ত্র পেতে পারি?,,,শ্রবণযন্ত্র,நான் மருத்துவ சிகிச்சையில் இருந்தால் காது கேட்கும் கருவிகளைப் பெற முடியுமா?,,,காது கேட்கும் கருவிகளைப்,నేను మెడికేర్‌లో ఉన్నట్లయితే నేను వినికిడి పరికరాలను పొందవచ్చా?,,,వినికిడి పరికరాలు,मी मेडिकेअरवर असल्यास मला श्रवणयंत्र मिळू शकेल का?,,,श्रवणयंत्र,જો હું મેડિકેર પર હોઉં તો શું હું શ્રવણ સહાય મેળવી શકું?,,શ્રવણ સાધન,,treatment plan
with the aca is there a one year waiting period for coverage for a pre-existing condition?,aca,,,एसीए के साथ क्या पूर्व-मौजूदा स्थिति के लिए कवरेज के लिए एक वर्ष की प्रतीक्षा अवधि है?,ऐ सी ऐ ,,,এ.সি.এ এর সাথে একটি পূর্ব-বিদ্যমান অবস্থার জন্য কভারেজের জন্য এক বছরের অপেক্ষার সময় আছে কি?,এ.সি.এ,,,ஏகாவுடன் ஏற்கனவே இருக்கும் நிபந்தனைக்கு ஒரு வருட காத்திருப்பு காலம் உள்ளதா?,ஏகாவுடன் ,,,అకాతో ముందుగా ఉన్న పరిస్థితికి కవరేజ్ కోసం ఒక సంవత్సరం నిరీక్షణ కాలం ఉందా?,అకా,,,एसीए  सह पूर्व-अस्तित्वात असलेल्या स्थितीसाठी कव्हरेजसाठी एक वर्ष प्रतीक्षा कालावधी आहे का?,एसीए,,,એસીએ સાથે શું પૂર્વ-અસ્તિત્વમાં રહેલી સ્થિતિ માટે કવરેજ માટે એક વર્ષનો રાહ જોવાનો સમય છે?,એસીએ,,,other
what should average-risk women in their 40s be doing if mammography and self-exams are no longer recommended?,,,"mammography , self-exams","यदि मैमोग्राफी और आत्म-परीक्षा की अब अनुशंसा नहीं की जाती है, तो उनके 40 के दशक में औसत जोखिम वाली महिलाओं को क्या करना चाहिए?",,,"मैमोग्राफी ,आत्म-परीक्षा",ম্যামোগ্রাফি এবং স্ব-পরীক্ষা আর সুপারিশ করা না হলে তাদের ৪০-এর দশকের গড় ঝুঁকিপূর্ণ মহিলাদের কী করা উচিত?,,,"ম্যামোগ্রাফি, স্ব-পরীক্ষা","மேமோகிராபி மற்றும் சுய பரிசோதனைகள் இனி பரிந்துரைக்கப்படாவிட்டால், 40 வயதிற்குட்பட்ட சராசரி ஆபத்துள்ள பெண்கள் என்ன செய்ய வேண்டும்?",,,"மேமோகிராபி,சுய பரிசோதனைகள்","మామోగ్రఫీ మరియు స్వీయ-పరీక్షలు సిఫార్సు చేయబడకపోతే, వారి ౪౦ ఏళ్లలో సగటు-ప్రమాదకర మహిళలు ఏమి చేయాలి?",,,"మామోగ్రఫీ, స్వీయ-పరీక్షలు",मॅमोग्राफी आणि आत्म-तपासणी यापुढे शिफारस केली जात नसल्यास त्यांच्या 40 च्या दशकातील सरासरी जोखीम असलेल्या महिलांनी काय करावे?,,,"मॅमोग्राफी,आत्म-तपासणी",જો મેમોગ્રાફી અને સ્વ-પરીક્ષાની ભલામણ કરવામાં ન આવે તો તેમની ૪૦ વર્ષની વયની સરેરાશ જોખમ ધરાવતી સ્ત્રીઓએ શું કરવું જોઈએ?,,,"મેમોગ્રાફી, સ્વ-પરીક્ષાઓ",treatment plan
how can you cool down the main vein in a males testicle that gets too hot and causes infertility?,infertility,,,आप पुरुषों के अंडकोष में मुख्य शिरा को कैसे ठंडा कर सकते हैं जो बहुत गर्म हो जाती है और बांझपन का कारण बनती है?,बांझपन ,,,আপনি কিভাবে পুরুষদের অন্ডকোষের মূল শিরাকে ঠান্ডা করতে পারেন যা খুব গরম হয়ে যায় এবং বন্ধ্যাত্বের কারণ হয়?,বন্ধ্যাত্ব,,,"மிகவும் சூடாகவும், கருவுறாமைக்கு காரணமான ஆண்களின் விந்தணுக்களில் உள்ள முக்கிய நரம்புகளை எப்படி குளிர்விப்பது?",கருவுறாமைக்கு,,,మగవారి వృషణంలో చాలా వేడిగా ఉండి వంధ్యత్వానికి కారణమయ్యే ప్రధాన సిరను మీరు ఎలా చల్లబరుస్తారు?,వంధ్యత్వం,,,तुम्ही पुरुषांच्या अंडकोषातील मुख्य शिरा कशी थंड करू शकता जी खूप गरम होते आणि वंध्यत्वास कारणीभूत ठरते?,वंध्यत्व,,,તમે પુરુષોના અંડકોષની મુખ્ય નસને કેવી રીતે ઠંડુ કરી શકો છો જે ખૂબ ગરમ થાય છે અને વંધ્યત્વનું કારણ બને છે?,વંધ્યત્વ,,,treatment plan
how to raise hdl. my hdl level is low (20). i do not smoke never have and exercise on a regular basis. what can i do to raise my hdl levels? .,"hdl level is low, smoke",,"exercise, raise hdl level",एचडीएल कैसे बढ़ाएं। मेरा एचडीएल स्तर कम है (20)। मैं कभी धूम्रपान नहीं करता और नियमित रूप से व्यायाम करता हूं। मैं अपना एचडीएल स्तर बढ़ाने के लिए क्या कर सकता हूं? .,"एचडीएल का स्तर कम है, धुआं",,"व्यायाम करें, एचडीएल स्तर बढ़ाएं",কিভাবে এইচডিএল বাড়াতে হয়। আমার এইচডিএল স্তর কম (২০)। আমি কখনই ধূমপান করি না এবং নিয়মিত ব্যায়াম করি। আমার এইচডিএল মাত্রা বাড়াতে আমি কি করতে পারি? .,"এইচডিএল স্তর কম, ধূমপান",,"এইচডিএল বাড়ানো, ব্যায়াম",HDL ஐ எவ்வாறு உயர்த்துவது. எனது hdl அளவு குறைவாக உள்ளது (20). நான் புகைபிடிப்பதில்லை மற்றும் தொடர்ந்து உடற்பயிற்சி செய்கிறேன். எனது hdl அளவை உயர்த்த நான் என்ன செய்ய முடியும்? .," hdl அளவு குறைவாக உள்ளது, புகைபிடிப்பதில்லை",,"உடற்பயிற்சி, hdl அளவை உயர்த்த",హెచ్‌డిఎల్‌ని ఎలా పెంచాలి. నా హెచ్‌డిఎల్ స్థాయి తక్కువగా ఉంది (౨౦). నేను ఎప్పుడూ పొగ త్రాగను మరియు రోజూ వ్యాయామం చేయను. నా హెచ్‌డిఎల్ స్థాయిలను పెంచడానికి నేను ఏమి చేయగలను? .,"హెచ్‌డిఎల్ స్థాయి తక్కువగా ఉంది, పొగ త్రాగడం",,"వ్యాయామం,  హెచ్‌డిఎల్ స్థాయిని పెంచడం ",एचडीएल  कसे वाढवायचे. माझी एचडीएल पातळी कमी आहे (२०). मी कधीही धूम्रपान करत नाही आणि नियमित व्यायाम करतो. माझी एचडीएल पातळी वाढवण्यासाठी मी काय करू शकतो? .,"एचडीएल पातळी कमी आहे,धूम्रपान",,"व्यायाम ,एचडीएल वाढ",એચડીએલ કેવી રીતે વધારવું. મારું એચડીએલ સ્તર ઓછું છે (૨૦). હું ક્યારેય ધૂમ્રપાન કરતો નથી અને નિયમિત રીતે કસરત કરું છું. મારું એચડીએલ સ્તર વધારવા માટે હું શું કરી શકું? .,"એચડીએલ  સ્તર નીચું છે, ધુમાડો",,"કસરત, એચડીએલ સ્તર વધારવું",treatment plan
what are the risks of ultrasound?,,,ultrasound,अल्ट्रासाउंड के जोखिम क्या हैं?,,,अल्ट्रासाउंड,আল্ট্রাসাউন্ডের ঝুঁকি কি?,,,আল্ট্রাসাউন্ড,அல்ட்ராசவுண்ட் அபாயங்கள் என்ன?,,,அல்ட்ராசவுண்ட்,అల్ట్రాసౌండ్ ప్రమాదాలు ఏమిటి?,,,అల్ట్రాసౌండ్,अल्ट्रासाऊंडचे धोके काय आहेत?,,,अल्ट्रासाऊंड,અલ્ટ્રાસાઉન્ડના જોખમો શું છે?,,,અલ્ટ્રાસાઉન્ડ,treatment plan
do testosterone injections increase your psa level? . i started receiving testosterone injections about 1 1/2 years ago. since that time my psa level has slowly gone up from about 1. 8 to 3. 3.,psa level,testosterone injections,psa level,क्या टेस्टोस्टेरोन इंजेक्शन आपके पीएसए स्तर को बढ़ाते हैं? . मुझे लगभग 1 1/2 साल पहले टेस्टोस्टेरोन इंजेक्शन मिलना शुरू हुआ था। उस समय से मेरा पीएसए स्तर धीरे-धीरे लगभग 1.8 से 3.3 हो गया है।,पीएसए स्तर,टेस्टोस्टेरोन इंजेक्शन,पीएसए स्तर,টেস্টোস্টেরন ইনজেকশন কি আপনার পিএসএ মাত্রা বাড়ায়? . আমি প্রায় ১ ১/২ বছর আগে টেস্টোস্টেরন ইনজেকশন গ্রহণ করা শুরু করেছি। সেই সময় থেকে আমার পিএসএ স্তর ধীরে ধীরে প্রায় ১.৮ থেকে ৩.৩-এ উঠে গেছে।,পিএসএ মাত্রা,টেস্টোস্টেরন ইনজেকশন,পিএসএ,"டெஸ்டோஸ்டிரோன் ஊசி உங்கள் psa அளவை அதிகரிக்குமா? . நான் 1 1/2 ஆண்டுகளுக்கு முன்பு டெஸ்டோஸ்டிரோன் ஊசி பெற ஆரம்பித்தேன். அப்போதிருந்து, எனது psa நிலை மெதுவாக சுமார் 1. 8 இல் இருந்து 3. 3 ஆக உயர்ந்தது.", psa அளவை,டெஸ்டோஸ்டிரோன் ஊசி, psa அளவை,టెస్టోస్టెరాన్ ఇంజెక్షన్లు మీ పిఎస్ఎ స్థాయిని పెంచుతాయా? నేను ౧ ౧/౨ సంవత్సరాల క్రితం టెస్టోస్టెరాన్ ఇంజెక్షన్లను స్వీకరించడం ప్రారంభించాను. అప్పటి నుండి నా పిఎస్ఎ స్థాయి నెమ్మదిగా దాదాపు ౧.౮ నుండి ౩.౩ కి పెరిగింది.,పిఎస్ఎ స్థాయి,టెస్టోస్టెరాన్ ఇంజెక్షన్లు,పిఎస్ఎ స్థాయి,टेस्टोस्टेरॉन इंजेक्शन्स तुमची पीएसए पातळी वाढवतात का? . मी १ १/२ वर्षांपूर्वी टेस्टोस्टेरॉन इंजेक्शन्स घेणे सुरू केले. तेव्हापासून माझी पीएसए पातळी हळूहळू १.८ वरून ३.३ वर गेली आहे.,पीएसए,टेस्टोस्टेरॉन इंजेक्शन्स,पीएसए पातळी,શું ટેસ્ટોસ્ટેરોન ઈન્જેક્શન તમારા પીએસએ સ્તરમાં વધારો કરે છે? . મેં લગભગ ૧ ૧/૨ વર્ષ પહેલાં ટેસ્ટોસ્ટેરોન ઇન્જેક્શન્સ મેળવવાનું શરૂ કર્યું. તે સમયથી મારું પીએસએ સ્તર ધીમે ધીમે લગભગ ૧.૮ થી ૩.૩ સુધી વધ્યું છે.,પીએસએ સ્તર,ટેસ્ટોસ્ટેરોન ઇન્જેક્શન,પીએસએ સ્તર,treatment plan
should a oral surgeon remove impacted wisdom teeth if the patient has a sinus infection. what are the risks if they do it?,"wisdom teeth, sinus infection",,,"यदि रोगी को साइनस का संक्रमण है, तो क्या एक मौखिक सर्जन को प्रभावित ज्ञान दांत को हटा देना चाहिए। यदि वे ऐसा करते हैं तो जोखिम क्या हैं?","ज्ञान दांत, साइनस संक्रमण",,,রোগীর সাইনাস ইনফেকশন থাকলে একজন ওরাল সার্জনের প্রভাবিত আক্কেল দাঁত অপসারণ করা উচিত। তারা এটা করলে ঝুঁকি কি?,"সাইনাস ইনফেকশন, আক্কেল দাঁত",,,"நோயாளிக்கு சைனஸ் தொற்று இருந்தால், வாய்வழி அறுவை சிகிச்சை நிபுணர் பாதிக்கப்பட்ட ஞானப் பற்களை அகற்ற வேண்டும். அவர்கள் செய்தால் என்ன ஆபத்து?","ஞானப் பற்களை, சைனஸ் தொற்று",,,రోగికి సైనస్ సంక్రమణ ఉన్నట్లయితే నోటి శస్త్రచికిత్స నిపుణుడు ప్రభావితమైన జ్ఞాన దంతాలను తొలగించాలి. వారు చేస్తే ప్రమాదాలు ఏమిటి?,"జ్ఞాన దంతాలు, సైనస్ సంక్రమణ",,,जर रुग्णाला सायनस संसर्ग झाला असेल तर तोंडी सर्जनने प्रभावित शहाणपणाचे दात काढून टाकावेत. त्यांनी तसे केल्यास काय धोके आहेत?,"शहाणपणाचे दात,सायनस संसर्ग",,,જો દર્દીને સાઇનસ ચેપ હોય તો ઓરલ સર્જનને અસરગ્રસ્ત શાણપણના દાંત દૂર કરવા જોઈએ. જો તેઓ તે કરે તો જોખમ શું છે?,"શાણપણના દાંત, સાઇનસ ચેપ",,,treatment plan
i am a 52-year-old woman unemployed and have lived with my parents all my life. i can't afford health insurance. how can i get health insurance?,,,,मैं एक 52 वर्षीय महिला बेरोजगार हूं और जीवन भर अपने माता-पिता के साथ रही हूं। मैं स्वास्थ्य बीमा का खर्च नहीं उठा सकती  मैं स्वास्थ्य बीमा कैसे प्राप्त कर सकती  हूं?,,,,আমি একজন 52 বছর বয়সী বেকার মহিলা এবং সারা জীবন আমার বাবা-মায়ের সাথে বসবাস করেছি। আমি স্বাস্থ্য বীমা বহন করতে পারি না। আমি কিভাবে স্বাস্থ্য বীমা পেতে পারি?,,,,"நான் 52 வயதான வேலையில்லாத பெண், என் வாழ்நாள் முழுவதும் என் பெற்றோருடன் வாழ்ந்து வருகிறேன். என்னால் உடல்நலக் காப்பீட்டை வாங்க முடியாது. நான் எப்படி சுகாதார காப்பீடு பெற முடியும்?",,,,నేను ౫౨ ఏళ్ల మహిళ నిరుద్యోగిని మరియు నా జీవితమంతా నా తల్లిదండ్రులతో కలిసి జీవించాను. నేను ఆరోగ్య బీమా పొందలేను. నేను ఆరోగ్య బీమాను ఎలా పొందగలను?,,,,मी एक ५२ वर्षीय महिला बेरोजगार आहे आणि मी आयुष्यभर माझ्या पालकांसोबत राहिलो आहे. मी आरोग्य विमा घेऊ शकत नाही. मी आरोग्य विमा कसा मिळवू शकतो?,,,,હું ૫૨ વર્ષીય મહિલા બેરોજગાર છું અને આખી જીંદગી મારા માતા-પિતા સાથે રહી છું. હું આરોગ્ય વીમો પરવડી શકતો નથી. હું આરોગ્ય વીમો કેવી રીતે મેળવી શકું?,,,,other
